Date,Full Retreat and Summaries,Title of Event,#,Transcript or Writing,Title of Talk or Writing,Link,Broad Topics,Detailed Topics,Principal teacher 1,Principal teacher 2,Facilitator 1,Organization,Venue,Dates of overall event,Length of recording,Type of recording,Teacher's note on suitability,Online,Live audience,Audience (experienced or general),Technical notes on audio quality
,"https://dl.airtable.com/.attachments/2c338bd22ef4003e9a598c7f64d2beb8/042f5ae7/2021_0729TranscriptionCompilation2013-2020.pdf,https://dl.airtable.com/.attachments/f3fefba906b2c7113ab07f0c667958b6/a537354d/2021_0915TranscriptionCompilation2005-2012.pdf",<-- All transcriptions divided in two searchable files,,https://dl.airtable.com/.attachments/d01fa95ff24a691d5e36123ae82cd905/392c4b47/AirtableOverviewFile.pdf,<-- Information about this project and using this Airtable,,,,Rob Burbea,,,,,,,,,,,,
2005-11-05,https://dl.airtable.com/.attachments/858eff2ffd31be02cb13bef6ab458cdf/ca5c0e18/2005_1105NovemberSolitary.pdf,November Solitary,1,https://dl.airtable.com/.attachments/343e9c2b9352bd6661d812f1a75ee708/f8a660e9/2005_1105MindfulnessofMindStates.pdf,Mindfulness of Mind States,https://dharmaseed.org/teacher/210/talk/21010/,emptiness/insight,"mindfulness,mindfulness, foundations of: third foundation (citta),emotions / mind states: how to recognize mind states,emotions / mind states, resourcing and cultivating skillful,purification / stored psychological material,emotions, skill with,impermanence (anicca)",Rob Burbea,,,Gaia House,"Gaia House, Devon",,2859,Talk,,,true,,Audio cuts out briefly at 19 minutes in
2005-11-12,,November Solitary,2,https://dl.airtable.com/.attachments/0ae15af9fb438f331160add55bec0161/1382222a/2005_1112ContemplatingtheThreeCharacteristicsPart1-ImpermanenceandDukkha.pdf,Contemplating the Three Characteristics (Part 1) - Impermanence And Dukkha,https://dharmaseed.org/teacher/210/talk/21008/,emptiness/insight,"three characteristics,dukkha (suffering),impermanence (anicca)",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3219,Talk,,,true,,"Audio cuts out briefly at 11 minutes in, change in microphone at 29:35"
2005-11-16,,November Solitary,3,https://dl.airtable.com/.attachments/ce61f37ade9d0a99f736cc99c085fa81/e710ef2e/2005_1116ContemplatingThe3CharacteristicsPart2-AnattaNot-Self.pdf,Contemplating the Three Characteristics (Part 2) - Anatta (Not Self),https://dharmaseed.org/teacher/210/talk/21009/,emptiness/insight,"three characteristics,not-self (anatta),self-views, noticing and practicing with,aggregates (skandhas)",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3381,Talk,,,true,,
2005-11-22,,November Solitary,4,https://dl.airtable.com/.attachments/0533f37708a644ca00d69353edb16491/cb96e2de/2005_1122CompassionandEmptiness.pdf,Compassion and Emptiness,https://dharmaseed.org/teacher/210/talk/21007/,"brahmaviharas,emptiness/insight","compassion,emptiness/insight leads to more care and love",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3326,Talk,,,true,,Audio cuts out briefly at 45 minutes in
2005-12-17,,The Art of Letting Go - Insight Meditation,1,https://dl.airtable.com/.attachments/33119efd4431268f13ba2265a8d7a029/c3bdf969/2005_1217TheArtofLettingGo-InsightMeditation.pdf,The Art of Letting Go,https://dharmaseed.org/teacher/210/talk/21013/,emptiness/insight,"mindfulness,renunciation/letting go,clinging / craving: practical approaches,clinging / craving: noticing and working with in body",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3373,Talk,,,true,,
2005-12-29,,New Year Retreat,1,https://dl.airtable.com/.attachments/b15233c2affc9d5f4c637293a99b437c/d217852d/2005_1229ThePlaceofLoveinInsightMeditation.pdf,The Place of Love in Insight Meditation,https://dharmaseed.org/teacher/210/talk/21006/,"brahmaviharas,emptiness/insight","metta,mindfulness,insight and cultivation (aspects or wings of the path),Practice: welcoming/allowing",Rob Burbea,,,Gaia House,"Gaia House, Devon",,2851,Talk,,,true,,
2006-02-09,https://dl.airtable.com/.attachments/48605488a8f2ec819a8bae6e399cbfde/42d90a31/2006_0209WorkingandAwakening.pdf,Working and Awakening - A Work Retreat,1,https://dl.airtable.com/.attachments/5e90d53b657d9e3fb9800472503d9527/01300cc7/2006_0209RenunciationandJoy.pdf,Renunciation and Joy,https://dharmaseed.org/teacher/210/talk/12860/,"brahmaviharas,emptiness/insight","renunciation/letting go,joy,eightfold path,sensitivity",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3267,Talk,"Renunciation is a central ingredient of the path to Awakening and is intimately connected with our heart's capacity for deep joy, wonder, openness and freedom. What might it mean for us in our lives?",,true,,
2006-02-11,,Working and Awakening - A Work Retreat,2,https://dl.airtable.com/.attachments/fc5c6cd7465a8d1f8be2a58fd62076bc/4d9ed833/2006_0211BeyondthePrisonoftheSelf.pdf,Beyond the Prison of the Self,https://dharmaseed.org/teacher/210/talk/12445/,emptiness/insight,"self-views, noticing and practicing with,not-self (anatta),generosity,judgment/inner critic",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3156,Talk,,,true,,Audio cuts out briefly at 47 minutes in
2006-04-23,https://dl.airtable.com/.attachments/165ee2f696821d49725d6a9052fced81/e00654a1/2006_0423AspectsofMindfulnessPartsOneandTwo.pdf,Meditation Day,1,https://dl.airtable.com/.attachments/984ce503d1c97f8e675cf454e84dc266/366b6ee9/2006_0423AspectsofMindfulnessPart1.pdf,Aspects of Mindfulness (Part 1),https://dharmaseed.org/teacher/210/talk/21012/,emptiness/insight,"mindfulness,close investigation of experience / 'bare attention'",Rob Burbea,,,Gaia House,"Gaia House, Devon",,1644,Talk,,,true,,
2006-04-23,,Meditation Day,2,https://dl.airtable.com/.attachments/0c5583451ae825957046e8180da56447/b9191b3c/2006_0423AspectsofMindfulnessPart2.pdf,Aspects of Mindfulness (Part 2),https://dharmaseed.org/teacher/210/talk/21011/,emptiness/insight,"mindfulness,emptiness/insight: personal vs universal vs ultimate insight,eightfold path,purification / stored psychological material,close investigation of experience / 'bare attention',sensitivity,mindfulness: RAIN",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3820,Talk,,,true,,
2006-10-01,https://dl.airtable.com/.attachments/6c7c20676a5de35506230160ccb11838/02fd312a/2006_1001SilentAutumnRetreatFinland.pdf,"Silent Autumn Retreat, Finland",1,https://dl.airtable.com/.attachments/cc6ec22c9a83428746ac51ce6fbbbebd/4856eda5/2006_1001SundayMorningInstructions.pdf,Sunday Morning Instructions,https://hermesamara.org/resources/talk/2006-10-01-sunday-morning-instructions,"emptiness/insight,samadhi/jhana","mindfulness,guided meditation on the breath,samadhi,close investigation of experience / 'bare attention',samadhi: qualities practice develops (refinement, patience, mindfulness, etc.),insight and cultivation (aspects or wings of the path)",Rob Burbea,,,Nirodha Insight Meditation,"Nirodha Insight Meditation, Helsinki",,3162,Practice instructions/guided practice,,,true,,
2006-10-01,,"Silent Autumn Retreat, Finland",2,https://dl.airtable.com/.attachments/280a7b278979a3c592e23dd780b2a769/0e3c81a9/2006_1001Mindfulness.pdf,Mindfulness,https://hermesamara.org/resources/talk/2006-10-01-mindfulness,emptiness/insight,"mindfulness,emptiness/insight: personal vs universal vs ultimate insight,clarity/vividness as a stage or bandwidth of unfabricating,emotions,sensitivity,mindfulness, foundations of,mindfulness: RAIN,dukkha (suffering)",Rob Burbea,,,Nirodha Insight Meditation,"Nirodha Insight Meditation, Helsinki",,3267,Talk,,,true,,
2006-10-01,,"Silent Autumn Retreat, Finland",3,https://dl.airtable.com/.attachments/aaf5725f5669450a6167de81974cda84/1b26928d/2006_1003TuesdayMorningInstructions.pdf,Tuesday Morning Instructions,https://hermesamara.org/resources/talk/2006-10-01-tuesday-morning-instructions,emptiness/insight,"mindfulness,mindfulness, foundations of: second foundation (vedana),mindfulness, foundations of",Rob Burbea,,,Nirodha Insight Meditation,"Nirodha Insight Meditation, Helsinki",,1106,Practice instructions,,,true,,
2006-10-01,,"Silent Autumn Retreat, Finland",4,https://dl.airtable.com/.attachments/dd25638376db0185499b67e311f3d10d/69f3692f/2006_1003LettingGoofJudgement.pdf,Letting Go of Judgement,https://hermesamara.org/resources/talk/2006-10-01-letting-go-of-judgement,emptiness/insight,"mindfulness,judgment vs discernment,judgment/inner critic,mindfulness, foundations of,metta,views/orientations in practice,working with thought in practice",Rob Burbea,,,Nirodha Insight Meditation,"Nirodha Insight Meditation, Helsinki",,3320,Talk,,,true,,
2006-10-01,,"Silent Autumn Retreat, Finland",5,https://dl.airtable.com/.attachments/27504ff709a4c4a17b1e067dd962dc9a/c06e7143/2006_1005ThursdayMorningInstructions.pdf,Thursday Morning Instructions,https://hermesamara.org/resources/talk/2006-10-01-thursday-morning-instructions,emptiness/insight,"mindfulness,mindfulness, foundations of,mindfulness, foundations of: third foundation (citta),emotions,working with thought in practice,labeling in practice",Rob Burbea,,,Nirodha Insight Meditation,"Nirodha Insight Meditation, Helsinki",,1109,Practice instructions,,,true,,
2006-10-01,,"Silent Autumn Retreat, Finland",6,https://dl.airtable.com/.attachments/95005401ad5b01254c9f3ec4b2e3b792/c1f25a77/2006_1005RenunciationandJoy.pdf,Renunciation and Joy,https://hermesamara.org/resources/talk/2006-10-01-renunciation-and-joy,brahmaviharas,"joy,renunciation/letting go,sensitivity,aging/sickness/death",Rob Burbea,,,Nirodha Insight Meditation,"Nirodha Insight Meditation, Helsinki",,3427,Talk,,,true,,
2006-10-17,,Talk Given Between Retreats,1,https://dl.airtable.com/.attachments/8c8e1d5644d9478fdb0cdc15d49a045f/2cb2ce76/2006_1017LettingGoofJudgement.pdf,Letting Go of Judgement,https://dharmaseed.org/teacher/210/talk/21014/,emptiness/insight,"mindfulness,judgment vs discernment,judgment/inner critic,mindfulness, foundations of,metta,views/orientations in practice,working with thought in practice",Rob Burbea,,,(duplicate talk) Nirodha Insight Meditation,"(duplicate talk) Nirodha Insight Meditation, Helsinki",,3319,Talk,,,true,,
2006-11-04,https://dl.airtable.com/.attachments/a22f4b7eec7c88e91b79c47cf9303872/a5572c45/2006_1104NovemberSolitary.pdf,November Solitary,1,https://dl.airtable.com/.attachments/f7590fc5921e1d3c681e62ea00ae402f/a672e71e/2006_1104FromFeelingstoFreedom-ExploringVedana.pdf,From Feelings to Freedom (Exploring Vedana),https://dharmaseed.org/teacher/210/talk/12482/,emptiness/insight,"mindfulness,mindfulness, foundations of: second foundation (vedana),working with pain / discomfort,mindfulness, foundations of,sensitivity,three characteristics,emptiness/insight: dependent arising, mutual dependence,emptiness/insight: fading, unfabricating",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3115,Talk,,,true,,
2006-11-07,,November Solitary,2,https://dl.airtable.com/.attachments/c673764b2da2ee1986050b7b22556112/193e0f76/2006_1107Samadhi.pdf,Samadhi,https://dharmaseed.org/teacher/210/talk/12483/,samadhi/jhana,"samadhi,definitions: samadhi,subtlety, subtlizing of attention and experience,breath meditation,awakening: necessary elements for liberation,emptiness/insight: cementing and consolidating insights,samadhi: dependent on and leading to happiness,working with tightness in samadhi practice,samadhi: using the body to navigate,active versus receptive modes of practice,goals and effort,attachment: the place of attachment on the path,piti,repression / suppression",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3831,Talk,,,true,,
2006-11-16,,November Solitary,3,https://dl.airtable.com/.attachments/02ea32487abaa3bc69dbcfd611d9e70f/4989dce6/2006_1116EmotionalHealing.pdf,Emotional Healing,https://dharmaseed.org/teacher/210/talk/12481/,other topics,"emotions,emotions: increase energy in attention, decrease in emotion,mindfulness,emotions: range, ability to be with, unknotting, confidence,insight and cultivation (aspects or wings of the path),self-views, noticing and practicing with,personality level - working with reified self,purification / stored psychological material,not-self (anatta),emptiness: what is emptiness?,views/orientations in practice,emotions / mind states: how views/assumptions affect practice",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3718,Talk,,,true,,Audio cuts out briefly at 47 minutes
2006-11-22,,November Solitary,4,https://dl.airtable.com/.attachments/2a80f0f56152e97392d47aa458788f78/d58cfc9a/2006_1122TheNatureofAwareness.pdf,The Nature of Awareness,https://dharmaseed.org/teacher/210/talk/12484/,emptiness/insight,"emptiness/insight: the nature of mind or awareness,emptiness/insight: fading, unfabricating,emptiness: dependence on mind, mind's dependence,mind as a mirror metaphor,beyond spaciousness/the vastness of awareness,three characteristics,not-self (anatta),the Unfabricated,Practice: same substance as awareness,emptiness of time,emptiness/insight: dependent arising, mutual dependence,Practice: mutual emptiness of consciousness and perception,non-doing, reluctance to 'do' in practice",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3153,Talk,"Realising the Nature of Mind, of Consciousness, of 'That Which Knows', brings a profound liberation to life. This talk explores an investigation into Awareness itself.",,true,,
2006-12-28,https://dl.airtable.com/.attachments/6b6dec6f851d1d15719bd1dc6ef9dbea/6b3eacf3/2006_1228NewYearRetreat.pdf,New Year Retreat,1,https://dl.airtable.com/.attachments/73da21720565078da125f784a59109f1/aa10dd1a/2006_1228Equanimity.pdf,Equanimity,https://dharmaseed.org/teacher/210/talk/12307/,brahmaviharas,"equanimity,worldly winds,equanimity: near enemies,definitions: equanimity,equanimity: ways it can arise,impermanence (anicca),wonder,joy,emptiness/insight: fading, unfabricating,emptiness/insight: understanding, not just having experiences",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3268,Talk,,,true,,
2006-12-31,,New Year Retreat,2,https://dl.airtable.com/.attachments/aefc9cc8b499d48f7c7aac58b92be904/4ccf94f0/2006_1231ViewsinPractice-TheyMakeAlltheDifference.pdf,Views In Practice (...They Make All the Difference),https://dharmaseed.org/teacher/210/talk/12308/,emptiness/insight,"views/orientations in practice,Four Noble Truths,ethics/engagement,eightfold path,insight and cultivation (aspects or wings of the path),three characteristics,purification / stored psychological material,non-doing, reluctance to 'do' in practice",Rob Burbea,,,Gaia House,"Gaia House, Devon",,3418,Talk,,,true,,"Audio cuts out briefly at 44:46, then repeats a few sentences"
